t,omega_R,omega_L,u,omega
36.0115,0.072,0.1053,0.008865000000000001,-0.008325000000000003
36.1115,0.069,0.1017,0.008535000000000001,-0.008174999999999998
36.211,0.0662,0.0982,0.00822,-0.008
36.3118,0.0635,0.0948,0.007915,-0.007824999999999999
36.4115,0.0609,0.0916,0.007625,-0.0076749999999999995
36.5115,0.0584,0.0885,0.007345000000000001,-0.007524999999999999
36.6122,0.056,0.0854,0.00707,-0.007350000000000001
36.7115,0.0537,0.0825,0.00681,-0.0072000000000000015
36.8113,0.0515,0.0797,0.00656,-0.007049999999999999
36.9116,0.0493,0.077,0.006315,-0.006925000000000001
37.0121,0.0473,0.0744,0.006085,-0.006774999999999998
37.1116,0.0454,0.0719,0.005865000000000001,-0.006625000000000001
37.2113,0.0435,0.0694,0.005645000000000001,-0.006475000000000002
37.3117,0.0417,0.0671,0.00544,-0.0063500000000000015
37.4112,0.04,0.0648,0.005240000000000001,-0.006199999999999999
37.5114,0.0383,0.0626,0.005045000000000001,-0.0060750000000000005
37.6112,0.0367,0.0604,0.004855000000000001,-0.005925
37.7114,0.0352,0.0584,0.00468,-0.0058
37.8114,0.0337,0.0564,0.004505,-0.0056749999999999995
37.9115,0.0323,0.0545,0.00434,-0.005549999999999999
38.0113,0.031,0.0527,0.004185,-0.005424999999999998
38.1121,0.0297,0.0509,0.004030000000000001,-0.005299999999999999
38.2116,0.0284,0.0491,0.003875,-0.005174999999999999
38.3119,0.0272,0.0475,0.0037350000000000005,-0.005075
38.4117,0.0261,0.0459,0.0036000000000000008,-0.00495
38.5118,0.025,0.0443,0.003465,-0.004824999999999999
38.6113,0.024,0.0428,0.00334,-0.004699999999999999
38.7117,0.023,0.0414,0.00322,-0.0046
38.8114,0.022,0.04,0.0031000000000000003,-0.0045000000000000005
38.9115,0.0211,0.0386,0.0029850000000000002,-0.004375
39.0116,0.0202,0.0373,0.002875,-0.004275
39.1115,0.0193,0.0361,0.0027700000000000003,-0.0042
39.2122,0.0185,0.0348,0.0026650000000000003,-0.004075
39.3121,0.0177,0.0337,0.0025700000000000002,-0.004
39.4119,0.017,0.0325,0.002475,-0.0038750000000000004
39.5116,0.0163,0.0314,0.002385,-0.003775
39.6114,0.0156,0.0304,0.0023,-0.0037
39.7117,0.0149,0.0293,0.00221,-0.0036
39.8116,0.0143,0.0283,0.00213,-0.0034999999999999996
39.9121,0.0137,0.0274,0.002055,-0.003425
