t,omega_R,omega_L,u,omega,x,y,psi
18.7106,2.4519,2.453,0.245245,-0.0002749999999999,0.9967326253880546,-0.11885846410338188,-1.5606762600000015
18.8106,2.4075,2.4085,0.2408,-0.0002499999999999,0.9969780608705878,-0.1433817360962549,-1.5607037600000015
18.9107,2.3624,2.3633,0.236285,-0.000225,0.997218826405545,-0.16748461374325083,-1.5607287850000016
19.012,2.3167,2.3176,0.231715,-0.000225,0.997457516563561,-0.19141909419485117,-1.5607515775000016
19.1108,2.2705,2.2713,0.22709,-0.0001999999999999,0.9976852486940873,-0.2143114035939884,-1.5607738075000015
19.2102,2.2238,2.2246,0.22242,-0.0001999999999999,0.9979094927886797,-0.23688303580166653,-1.5607936875000015
19.3105,2.1768,2.1775,0.217715,-0.000175,0.9981306293072914,-0.25919066585076084,-1.5608137475000015
19.4109,2.1294,2.1301,0.212975,-0.000175,0.998347073838781,-0.28104818027420886,-1.5608313175000015
19.5152,2.0819,2.0826,0.208225,-0.0001749999999999,0.9985666006821677,-0.3032603880660316,-1.5608495700000016
19.611,2.0342,2.0349,0.203455,-0.000175,0.9987633384502217,-0.3232073729445365,-1.5608663350000016
19.7104,1.9866,1.9871,0.198685,-0.000125,0.9989624141998981,-0.34342982016281537,-1.5608837300000016
19.8108,1.9389,1.9395,0.19392,-0.0001499999999999,0.9991588922464621,-0.3633768265712197,-1.5608962800000015
19.911,1.8914,1.8919,0.189165,-0.0001249999999999,0.9993497518486707,-0.3828066732439528,-1.5609113100000014
20.0153,1.8441,1.8446,0.184435,-0.0001249999999999,0.9995434754729648,-0.4025356316993638,-1.5609243475000014
20.111,1.797,1.7975,0.179725,-0.000125,0.9997165211256416,-0.42018521294560246,-1.5609363100000013
20.2111,1.7503,1.7507,0.17505,-9.9999999999989e-05,0.9998926534232281,-0.4381748232735838,-1.5609488225000012
20.3106,1.7039,1.7044,0.1704149999999999,-0.0001249999999999,1.0000631743592312,-0.45559146356314745,-1.5609587725000011
20.4108,1.658,1.6585,0.165825,-0.000125,1.0002299011852516,-0.4726662326252494,-1.5609712975000012
20.5109,1.6127,1.6131,0.16129,-9.9999999999989e-05,1.0003917338436648,-0.48926452626038286,-1.560983810000001
20.6144,1.5679,1.5683,0.15681,-9.9999999999989e-05,1.0005545016611277,-0.5059572477510221,-1.560994160000001
20.711,1.5237,1.5241,0.15239,-9.9999999999989e-05,1.0007020150428736,-0.5211043755043314,-1.561003820000001
20.8107,1.4802,1.4806,0.14804,-9.9999999999989e-05,1.000849796039865,-0.5362969398069446,-1.561013790000001
20.9105,1.4374,1.4378,0.14376,-9.9999999999989e-05,1.0009933268157687,-0.5510706346353221,-1.561023770000001
21.0106,1.3954,1.3957,0.139555,-7.499999999999174e-05,1.0011329543918979,-0.5654603332618872,-1.561033780000001
21.1153,1.3541,1.3544,0.135425,-7.499999999999174e-05,1.001274811472704,-0.5800710531462433,-1.561041632500001
21.2108,1.3136,1.3139,0.131375,-7.499999999999174e-05,1.001400251570896,-0.5930035323199141,-1.561048795000001
21.3103,1.2739,1.2742,0.127405,-7.499999999999174e-05,1.0015269212465627,-0.6060747310937573,-1.5610562575000009
21.4108,1.235,1.2353,0.123515,-7.499999999999174e-05,1.0016508793800298,-0.6188783335793971,-1.5610637950000008
21.511,1.197,1.1973,0.119715,-7.499999999999174e-05,1.0017705778032522,-0.6312539577474722,-1.5610713100000009
21.6107,1.1599,1.1601,0.1159999999999999,-4.999999999999449e-05,1.0018859020284334,-0.6431889861140088,-1.561078787500001
21.7107,1.1236,1.1238,0.11237,-4.999999999999449e-05,1.00199812373378,-0.654788443279706,-1.561083787500001
21.8106,1.0882,1.0884,0.10883,-4.999999999999449e-05,1.0021066532073946,-0.6660136816529001,-1.561088782500001
21.9106,1.0537,1.0539,0.10538,-4.999999999999449e-05,1.0022117987762202,-0.6768961737231638,-1.561093782500001
22.0108,1.0201,1.0203,0.10202,-4.999999999999449e-05,1.0023137460949845,-0.6874547575756024,-1.561098792500001
22.1102,0.9873,0.9875,0.09874,-5.0000000000022256e-05,1.002411588216407,-0.6975950735680765,-1.561103762500001
22.2126,0.9554,0.9556,0.09555,-4.999999999999449e-05,1.00250907599096,-0.7077055795924321,-1.561108882500001
22.3105,0.9244,0.9245,0.092445,-2.4999999999997247e-05,1.0025992047926469,-0.7170594904011659,-1.561113777500001
22.4106,0.8942,0.8944,0.08943,-4.999999999999449e-05,1.0026885529916438,-0.726312803550154,-1.561116280000001
22.5102,0.8649,0.865,0.086495,-2.4999999999997247e-05,1.002774276052281,-0.7352196190556457,-1.5611212600000008
22.6106,0.8364,0.8366,0.08365,-4.999999999999449e-05,1.0028580429814413,-0.7439033130413977,-1.561123770000001
22.7106,0.8087,0.8089,0.08088,-4.999999999999449e-05,1.002938452680777,-0.7522679265728317,-1.561128770000001
22.8107,0.7819,0.782,0.078195,-2.4999999999997247e-05,1.00301622037553,-0.760363641077426,-1.561133775000001
22.9107,0.7559,0.756,0.075595,-2.4999999999997247e-05,1.003091525535248,-0.7681827784624204,-1.5611362750000009
23.0105,0.7306,0.7307,0.073065,-2.4999999999997247e-05,1.003164154024643,-0.7757268098673088,-1.5611387700000008
23.1104,0.7061,0.7062,0.070615,-2.5000000000025e-05,1.0032343955662928,-0.7830256653898302,-1.5611412675000007
23.211,0.6824,0.6825,0.068245,-2.4999999999997247e-05,1.0033027312888032,-0.7901292057086742,-1.5611437825000007
23.3105,0.6594,0.6595,0.065945,-2.4999999999997247e-05,1.0033680259521807,-0.7969192692769569,-1.5611462700000007
23.4106,0.6371,0.6372,0.063715,-2.4999999999997247e-05,1.003431475661994,-0.803520058835402,-1.5611487725000006
23.511,0.6155,0.6156,0.061555,-2.4999999999997247e-05,1.0034929389860767,-0.8099167495585017,-1.5611512825000007
23.6105,0.5946,0.5947,0.059465,-2.4999999999997247e-05,1.003551762551558,-0.8160411895779668,-1.5611537700000007
23.7108,0.5744,0.5745,0.057445,-2.4999999999997247e-05,1.0036090224043663,-0.8220052542190813,-1.5611562775000007
23.8111,0.5548,0.5549,0.055485,-2.4999999999997247e-05,1.0036643142007058,-0.8277667224178269,-1.5611587850000008
23.9107,0.5358,0.5359,0.053585,-2.4999999999997247e-05,1.0037173243928352,-0.8332927741717617,-1.5611612750000008
24.0104,0.5175,0.5176,0.0517549999999999,-2.4999999999997247e-05,1.003768548894743,-0.8386349530952658,-1.5611637675000007
24.1107,0.4998,0.4999,0.049985,-2.4999999999997247e-05,1.0038183002536796,-0.843825741184647,-1.5611662750000008
24.2108,0.4826,0.4827,0.048265,-2.5000000000011128e-05,1.003866233220251,-0.8488290100893574,-1.5611687775000007
24.3105,0.466,0.4661,0.046605,-2.4999999999997247e-05,1.00391231123069,-0.8536408099783284,-1.5611712700000007
24.4106,0.45,0.4501,0.045005,-2.4999999999997247e-05,1.0039569627337483,-0.8583057567943874,-1.5611737725000006
24.511,0.4345,0.4346,0.043455,-2.4999999999997247e-05,1.0040001906052112,-0.8628240520191524,-1.5611762825000006
24.6105,0.4195,0.4196,0.041955,-2.4999999999997247e-05,1.0040415361081272,-0.8671476268413361,-1.5611787700000006
24.7105,0.405,0.4051,0.040505,-2.4999999999997247e-05,1.0040816359571731,-0.8713429352107658,-1.5611812700000005
24.8102,0.3911,0.3911,0.03911,0.0,1.0041202150705975,-0.8753810994374391,-1.5611837625000005
24.9158,0.3775,0.3776,0.037755,-2.4999999999997247e-05,1.0041599145035494,-0.8795109246292941,-1.5611837625000005
25.0155,-8.5909,3.589,-0.2500949999999999,-3.044975,1.0041958480676212,-0.8832749266190918,-1.5611862550000004
